,Measure,Value,Tuning
0,Precision,0.8602150537634409,Basic Decision Tree
1,Recall,0.8648648648648649,Basic Decision Tree
2,Accuracy,0.9633883704235463,Basic Decision Tree
3,F1Score,0.8625336927223719,Basic Decision Tree
4,Precision,0.9010989010989011,Custom Decision Tree
5,Recall,0.8864864864864865,Custom Decision Tree
6,Accuracy,0.9720028715003589,Custom Decision Tree
7,F1Score,0.8937329700272478,Custom Decision Tree
8,Precision,0.8563829787234043,Basic Decision Tree
9,Recall,0.8702702702702703,Basic Decision Tree
10,Accuracy,0.9633883704235463,Basic Decision Tree
11,F1Score,0.8632707774798928,Basic Decision Tree
12,Precision,0.9585798816568047,Custom Decision Tree
13,Recall,0.8756756756756757,Custom Decision Tree
14,Accuracy,0.9784637473079684,Custom Decision Tree
15,F1Score,0.9152542372881357,Custom Decision Tree
16,Precision,0.8804347826086957,Basic Decision Tree
17,Recall,0.8756756756756757,Basic Decision Tree
18,Accuracy,0.9676956209619526,Basic Decision Tree
19,F1Score,0.8780487804878049,Basic Decision Tree
20,Precision,0.9209039548022598,Custom Decision Tree
21,Recall,0.8810810810810811,Custom Decision Tree
22,Accuracy,0.9741564967695621,Custom Decision Tree
23,F1Score,0.9005524861878452,Custom Decision Tree
24,Precision,0.8412698412698413,Basic Decision Tree
25,Recall,0.8594594594594595,Basic Decision Tree
26,Accuracy,0.9597989949748744,Basic Decision Tree
27,F1Score,0.8502673796791443,Basic Decision Tree
28,Precision,0.9349112426035503,Custom Decision Tree
29,Recall,0.8540540540540541,Custom Decision Tree
30,Accuracy,0.9727207465900933,Custom Decision Tree
31,F1Score,0.8926553672316384,Custom Decision Tree
32,Precision,0.8586956521739131,Basic Decision Tree
33,Recall,0.8540540540540541,Basic Decision Tree
34,Accuracy,0.9619526202440776,Basic Decision Tree
35,F1Score,0.8563685636856369,Basic Decision Tree
36,Precision,0.9081081081081082,Custom Decision Tree
37,Recall,0.9081081081081082,Custom Decision Tree
38,Accuracy,0.9755922469490309,Custom Decision Tree
39,F1Score,0.9081081081081082,Custom Decision Tree
40,Precision,0.8534031413612565,Basic Decision Tree
41,Recall,0.8810810810810811,Basic Decision Tree
42,Accuracy,0.9641062455132807,Basic Decision Tree
43,F1Score,0.8670212765957447,Basic Decision Tree
44,Precision,0.8695652173913043,Custom Decision Tree
45,Recall,0.8648648648648649,Custom Decision Tree
46,Accuracy,0.964824120603015,Custom Decision Tree
47,F1Score,0.8672086720867209,Custom Decision Tree
48,Precision,0.8709677419354839,Basic Decision Tree
49,Recall,0.8756756756756757,Basic Decision Tree
50,Accuracy,0.9662598707824839,Basic Decision Tree
51,F1Score,0.8733153638814016,Basic Decision Tree
52,Precision,0.8950276243093923,Custom Decision Tree
53,Recall,0.8756756756756757,Custom Decision Tree
54,Accuracy,0.9698492462311558,Custom Decision Tree
55,F1Score,0.8852459016393444,Custom Decision Tree
56,Precision,0.8541666666666666,Basic Decision Tree
57,Recall,0.8864864864864865,Basic Decision Tree
58,Accuracy,0.964824120603015,Basic Decision Tree
