,Measure,Value,Depth
0,Accuracy,0.9612347451543432,Depth-None
1,F1Score,0.8586387434554974,Depth-None
2,Accuracy,0.9633883704235463,Depth-50
3,F1Score,0.8632707774798928,Depth-50
4,Accuracy,0.9597989949748744,Depth-25
5,F1Score,0.8478260869565218,Depth-25
6,Accuracy,0.9612347451543432,Depth-10
7,F1Score,0.8524590163934427,Depth-10
8,Accuracy,0.9361091170136396,Depth-5
9,F1Score,0.7613941018766757,Depth-5
10,Accuracy,0.9411342426417804,Depth-3
11,F1Score,0.7630057803468209,Depth-3
12,Accuracy,0.9662598707824839,Depth-None
13,F1Score,0.8733153638814016,Depth-None
14,Accuracy,0.9676956209619526,Depth-50
15,F1Score,0.8780487804878049,Depth-50
16,Accuracy,0.9655419956927495,Depth-25
17,F1Score,0.8695652173913042,Depth-25
18,Accuracy,0.9612347451543432,Depth-10
19,F1Score,0.8524590163934427,Depth-10
20,Accuracy,0.9361091170136396,Depth-5
21,F1Score,0.7613941018766757,Depth-5
22,Accuracy,0.9411342426417804,Depth-3
23,F1Score,0.7630057803468209,Depth-3
24,Accuracy,0.9633883704235463,Depth-None
25,F1Score,0.8640000000000001,Depth-None
26,Accuracy,0.9641062455132807,Depth-50
27,F1Score,0.8648648648648649,Depth-50
28,Accuracy,0.9662598707824839,Depth-25
29,F1Score,0.8719346049046321,Depth-25
30,Accuracy,0.9641062455132807,Depth-10
31,F1Score,0.861878453038674,Depth-10
32,Accuracy,0.9353912419239052,Depth-5
33,F1Score,0.7593582887700535,Depth-5
34,Accuracy,0.9404163675520459,Depth-3
35,F1Score,0.7608069164265131,Depth-3
36,Accuracy,0.968413496051687,Depth-None
37,F1Score,0.8823529411764706,Depth-None
38,Accuracy,0.9641062455132807,Depth-50
39,F1Score,0.8655913978494624,Depth-50
40,Accuracy,0.9633883704235463,Depth-25
41,F1Score,0.8587257617728532,Depth-25
42,Accuracy,0.9605168700646087,Depth-10
43,F1Score,0.8501362397820164,Depth-10
44,Accuracy,0.9346733668341709,Depth-5
45,F1Score,0.7547169811320754,Depth-5
46,Accuracy,0.9411342426417804,Depth-3
47,F1Score,0.7630057803468209,Depth-3
