,Measure,Value,MaxFeature
0,Accuracy,0.9612347451543432,MaxFeature-None
1,F1Score,0.8571428571428572,MaxFeature-None
2,Accuracy,0.9540559942569993,MaxFeature-sqrt
3,F1Score,0.815028901734104,MaxFeature-sqrt
4,Accuracy,0.9526202440775305,MaxFeature-log2
5,F1Score,0.8092485549132947,MaxFeature-log2
6,Accuracy,0.9741564967695621,MaxFeature-0.25
7,F1Score,0.9027027027027028,MaxFeature-0.25
8,Accuracy,0.9691313711414213,MaxFeature-0.5
9,F1Score,0.8840970350404314,MaxFeature-0.5
10,Accuracy,0.9734386216798278,MaxFeature-0.75
11,F1Score,0.899728997289973,MaxFeature-0.75
12,Accuracy,0.964824120603015,MaxFeature-None
13,F1Score,0.8672086720867209,MaxFeature-None
14,Accuracy,0.9576453697056713,MaxFeature-sqrt
15,F1Score,0.8374655647382921,MaxFeature-sqrt
16,Accuracy,0.9526202440775305,MaxFeature-log2
17,F1Score,0.8081395348837209,MaxFeature-log2
18,Accuracy,0.9734386216798278,MaxFeature-0.25
19,F1Score,0.9008042895442359,MaxFeature-0.25
20,Accuracy,0.9727207465900933,MaxFeature-0.5
21,F1Score,0.8961748633879781,MaxFeature-0.5
22,Accuracy,0.9669777458722182,MaxFeature-0.75
23,F1Score,0.875,MaxFeature-0.75
24,Accuracy,0.9619526202440776,MaxFeature-None
25,F1Score,0.8571428571428572,MaxFeature-None
26,Accuracy,0.9748743718592965,MaxFeature-sqrt
27,F1Score,0.9046321525885558,MaxFeature-sqrt
28,Accuracy,0.9511844938980617,MaxFeature-log2
29,F1Score,0.8045977011494253,MaxFeature-log2
30,Accuracy,0.9691313711414213,MaxFeature-0.25
31,F1Score,0.8847184986595175,MaxFeature-0.25
32,Accuracy,0.9705671213208902,MaxFeature-0.5
33,F1Score,0.8906666666666666,MaxFeature-0.5
34,Accuracy,0.9662598707824839,MaxFeature-0.75
35,F1Score,0.872628726287263,MaxFeature-0.75
36,Accuracy,0.9662598707824839,MaxFeature-None
37,F1Score,0.873994638069705,MaxFeature-None
38,Accuracy,0.95908111988514,MaxFeature-sqrt
39,F1Score,0.8438356164383561,MaxFeature-sqrt
40,Accuracy,0.9490308686288585,MaxFeature-log2
41,F1Score,0.8011204481792717,MaxFeature-log2
42,Accuracy,0.9755922469490309,MaxFeature-0.25
43,F1Score,0.9050279329608939,MaxFeature-0.25
44,Accuracy,0.9712849964106246,MaxFeature-0.5
45,F1Score,0.8901098901098903,MaxFeature-0.5
46,Accuracy,0.9705671213208902,MaxFeature-0.75
47,F1Score,0.888888888888889,MaxFeature-0.75
48,Accuracy,0.9619526202440776,MaxFeature-None
49,F1Score,0.8579088471849866,MaxFeature-None
50,Accuracy,0.9576453697056713,MaxFeature-sqrt
51,F1Score,0.8319088319088319,MaxFeature-sqrt
52,Accuracy,0.9432878679109835,MaxFeature-log2
53,F1Score,0.774928774928775,MaxFeature-log2
54,Accuracy,0.9619526202440776,MaxFeature-0.25
