,Measure,Value,MinImpurityDecrease
0,Accuracy,0.9583632447954056,0.0%
1,F1Score,0.8473684210526314,0.0%
2,Accuracy,0.9310839913854989,0.5%
3,F1Score,0.7587939698492463,0.5%
4,Accuracy,0.9339554917444365,1.0%
5,F1Score,0.7444444444444445,1.0%
6,Accuracy,0.9167264895908112,1.5%
7,F1Score,0.6979166666666666,1.5%
8,Accuracy,0.908829863603733,2.0%
9,F1Score,0.6576819407008087,2.0%
10,Accuracy,0.908829863603733,2.5%
11,F1Score,0.6576819407008087,2.5%
12,Accuracy,0.908829863603733,3.0%
13,F1Score,0.6576819407008087,3.0%
14,Accuracy,0.908829863603733,3.5%
15,F1Score,0.6576819407008087,3.5%
16,Accuracy,0.8786791098348887,4.0%
17,F1Score,0.48318042813455664,4.0%
18,Accuracy,0.8786791098348887,4.5%
19,F1Score,0.48318042813455664,4.5%
20,Accuracy,0.8671931083991385,5.0%
21,F1Score,0.0,5.0%
22,Accuracy,0.8671931083991385,5.5%
23,F1Score,0.0,5.5%
24,Accuracy,0.8671931083991385,6.0%
25,F1Score,0.0,6.0%
26,Accuracy,0.9633883704235463,0.0%
27,F1Score,0.8654353562005278,0.0%
28,Accuracy,0.9332376166547021,0.5%
29,F1Score,0.7645569620253164,0.5%
30,Accuracy,0.9339554917444365,1.0%
31,F1Score,0.7444444444444445,1.0%
32,Accuracy,0.9167264895908112,1.5%
33,F1Score,0.6979166666666666,1.5%
34,Accuracy,0.908829863603733,2.0%
35,F1Score,0.6576819407008087,2.0%
36,Accuracy,0.908829863603733,2.5%
37,F1Score,0.6576819407008087,2.5%
38,Accuracy,0.908829863603733,3.0%
39,F1Score,0.6576819407008087,3.0%
40,Accuracy,0.908829863603733,3.5%
41,F1Score,0.6576819407008087,3.5%
42,Accuracy,0.8786791098348887,4.0%
43,F1Score,0.48318042813455664,4.0%
44,Accuracy,0.8786791098348887,4.5%
45,F1Score,0.48318042813455664,4.5%
46,Accuracy,0.8671931083991385,5.0%
47,F1Score,0.0,5.0%
48,Accuracy,0.8671931083991385,5.5%
49,F1Score,0.0,5.5%
50,Accuracy,0.8671931083991385,6.0%
51,F1Score,0.0,6.0%
52,Accuracy,0.964824120603015,0.0%
53,F1Score,0.8693333333333333,0.0%
54,Accuracy,0.9332376166547021,0.5%
55,F1Score,0.7645569620253164,0.5%
56,Accuracy,0.9339554917444365,1.0%
57,F1Score,0.7444444444444445,1.0%
58,Accuracy,0.9167264895908112,1.5%
59,F1Score,0.6979166666666666,1.5%
60,Accuracy,0.908829863603733,2.0%
61,F1Score,0.6576819407008087,2.0%
62,Accuracy,0.908829863603733,2.5%
63,F1Score,0.6576819407008087,2.5%
