,Measure,Value,Method
0,Precision,0.8702702702702703,Decision Tree
1,Recall,0.8702702702702703,Decision Tree
2,Accuracy,0.9655419956927495,Decision Tree
3,F1Score,0.8702702702702703,Decision Tree
4,Precision,0.9941176470588236,Logistic Regression
5,Recall,0.9135135135135135,Logistic Regression
6,Accuracy,0.9877961234745154,Logistic Regression
7,F1Score,0.9521126760563381,Logistic Regression
8,Precision,1.0,Neural Network
9,Recall,0.9459459459459459,Neural Network
10,Accuracy,0.9928212491026561,Neural Network
11,F1Score,0.9722222222222222,Neural Network
12,Precision,0.9720670391061452,Naive Bayesian
13,Recall,0.9405405405405406,Naive Bayesian
14,Accuracy,0.9885139985642498,Naive Bayesian
15,F1Score,0.9560439560439562,Naive Bayesian
16,Precision,0.8375634517766497,Decision Tree
17,Recall,0.8918918918918919,Decision Tree
18,Accuracy,0.9626704953338119,Decision Tree
19,F1Score,0.8638743455497383,Decision Tree
20,Precision,0.9941176470588236,Logistic Regression
21,Recall,0.9135135135135135,Logistic Regression
22,Accuracy,0.9877961234745154,Logistic Regression
23,F1Score,0.9521126760563381,Logistic Regression
24,Precision,1.0,Neural Network
25,Recall,0.9351351351351351,Neural Network
26,Accuracy,0.9913854989231874,Neural Network
27,F1Score,0.9664804469273743,Neural Network
28,Precision,0.9720670391061452,Naive Bayesian
29,Recall,0.9405405405405406,Naive Bayesian
30,Accuracy,0.9885139985642498,Naive Bayesian
31,F1Score,0.9560439560439562,Naive Bayesian
32,Precision,0.8702702702702703,Decision Tree
33,Recall,0.8702702702702703,Decision Tree
34,Accuracy,0.9655419956927495,Decision Tree
35,F1Score,0.8702702702702703,Decision Tree
36,Precision,0.9941176470588236,Logistic Regression
37,Recall,0.9135135135135135,Logistic Regression
38,Accuracy,0.9877961234745154,Logistic Regression
39,F1Score,0.9521126760563381,Logistic Regression
40,Precision,1.0,Neural Network
41,Recall,0.9351351351351351,Neural Network
42,Accuracy,0.9913854989231874,Neural Network
43,F1Score,0.9664804469273743,Neural Network
44,Precision,0.9720670391061452,Naive Bayesian
45,Recall,0.9405405405405406,Naive Bayesian
46,Accuracy,0.9885139985642498,Naive Bayesian
47,F1Score,0.9560439560439562,Naive Bayesian
48,Precision,0.8797814207650273,Decision Tree
49,Recall,0.8702702702702703,Decision Tree
50,Accuracy,0.9669777458722182,Decision Tree
51,F1Score,0.875,Decision Tree
52,Precision,0.9941176470588236,Logistic Regression
53,Recall,0.9135135135135135,Logistic Regression
54,Accuracy,0.9877961234745154,Logistic Regression
